CLASS	VORO.protein3.ROUND	VORO.protein3.AR	VORO.Feret.norm	VORO.Area.norm	CYTO.Area.norm	NUVO.distance.norm
INTERIOR	-0.263832487972053	0.0736990202024977	-0.48125407414439	-0.482404058406294	-0.357558752607655	-0.569518764647166
INTERIOR	1.31537126473848	-1.00061342740556	-0.459298854203103	-0.512670623509711	-0.434928630941244	-0.534347608512319
INTERIOR	-0.232315973091259	0.0473631852398924	-0.694595629452106	-0.704046007212173	-0.9482448977419	-0.576423722894485
INTERIOR	1.22744850792289	-0.950977375521025	-0.213335326208776	-0.0220448577248059	0.619750085304228	0.0386508440581372
INTERIOR	-0.203613875176338	0.0238081392134962	-0.561141229017433	-0.501706432028651	-0.4096128751706	-0.716161908934571
INTERIOR	-0.651021854638286	0.41637221818781	-0.411028067997253	-0.364771763676797	-0.0574010751382184	-0.679739042002592
INTERIOR	0.611036236902778	-0.574686225179951	-0.510651898655869	-0.399025529232793	-0.149396212955209	-0.562904436843791
INTERIOR	1.0127185571308	-0.826397932237356	-0.519124507384679	-0.33834403646644	0.00813478008540579	-0.307888280748668
INTERIOR	0.866785165628715	-0.737676765998377	-0.536300922949113	-0.467937819759065	-0.324137183602028	-0.354357192436091
EDGE	-2.40420578929289	2.71796625337375	2.47358388499981	2.19558623251956	1.8393638518978	2.55116201132949
INTERIOR	-0.823844876719978	0.582718236259155	-0.476916363283715	-0.815936014298188	-1.26325897877722	-0.6699756787868
INTERIOR	-0.240456079221222	0.0540974611093145	-0.615201674222171	-0.602354222255156	-0.676377041107218	-0.407745244398577
INTERIOR	-0.0327921085127578	-0.113088250277904	-0.727829098079523	-0.868108476304966	-1.41839873801572	-0.561203100726179
INTERIOR	0.810531583848259	-0.702696735886904	-0.632134330741405	-0.492450292478337	-0.385359957729026	-0.334146690555766
EDGE	-0.943503572597047	0.703946225637578	1.01019947238454	1.47576338720461	-0.329479433261114	1.72106742687962
INTERIOR	0.0100646156200523	-0.146001279959864	-0.418576927593197	-0.282074375818501	0.148804939441702	-0.12821794693607
INTERIOR	-0.305300022829742	0.10870433768733	-0.627643072020087	-0.587291553546652	-0.636077208454831	-0.376277678333477
EDGE	-0.959973066469352	0.721010966184231	0.214189631299705	-0.359182857905474	-0.151089286646194	-0.593877770511775
INTERIOR	0.52329300516289	-0.516180369931441	-0.270237336867077	-0.12359053121444	0.534313670830948	-0.285486211033876
EDGE	-0.652727854802812	0.417718647658152	0.253816481273277	0.182853694880995	-0.0659030447938879	0.463696768762155
EDGE	0.363948411871028	-0.406734026898821	0.100039380871113	0.739460748415523	1.03673825976098	0.179611579294057
INTERIOR	0.807637157021896	-0.700986637605285	0.428130560143073	0.95550793300624	2.23501204486192	0.379850968892791
INTERIOR	-0.540828983566091	0.314785780763765	-0.0814916600402774	-0.105079800082273	0.58175050133044	-0.303731595083229
INTERIOR	-0.465891622464003	0.247386217534434	-0.279977687682349	-0.456093132086642	-0.291397715144282	-0.500853129553463
EDGE	-2.93146808355852	3.86195044460604	2.9202086645926	2.39986270703588	2.90659036701175	2.33242631423451
EDGE	-2.09716180611748	2.18555234135747	2.09264107863963	2.0455146011029	0.628649791939493	2.35621054067126
EDGE	-0.443644266107556	0.227799336056735	0.253212941126606	0.293978664232607	0.37703170411715	0.359243448417111
INTERIOR	0.720849989338415	-0.645957144717645	-0.462180458487122	-0.348992293840694	-0.0190455867672785	-0.588065428794546
INTERIOR	-0.199829957731382	0.0208783010238371	0.163352511316068	0.407929700927023	1.76822069829713	-0.632373437946924
INTERIOR	-0.0487176023421457	-0.100664303434795	-0.867937365789933	-0.918050044196677	-1.55993594184836	-0.682813989986787
INTERIOR	0.389272324974006	-0.424428895350217	-0.544502934975289	-0.555486683504924	-0.547037315400866	-0.311498313879384
INTERIOR	0.898839024889192	-0.757536149019976	-0.80637734842236	-0.647194785871596	-0.795078518518575	-0.58956487275775
INTERIOR	0.132203071402309	-0.23898263458464	-0.793197417127696	-0.747384874635274	-1.07113393599857	-0.619614118504771
EDGE	-2.89552167888615	3.77201714223044	3.72587585260427	3.65302733453198	1.85794080701708	4.0155050216082
INTERIOR	-0.0790549473743673	-0.0764759605902044	0.23679220264984	0.344071101247882	1.53377844476905	-0.111833627348371
EDGE	-0.471462180813222	0.252095816499895	0.64090070847569	0.690642978591171	0.273891082297787	0.948563509351162
EDGE	-0.980012887158183	0.7414696652485	0.968233304395715	0.92614014505757	1.45812047733594	0.793672238748976
INTERIOR	-0.554317626871887	0.326811848276167	-0.164108197224315	-0.282370239053326	0.149732109122352	-0.460065780347508
INTERIOR	0.339060717488606	-0.38910581450296	-0.519616048477715	-0.844548875841516	-1.34613190540776	-0.52126951820097
INTERIOR	0.975394206574236	-0.804059451156906	-0.554083244464695	-0.390390676410117	-0.121750069684868	-0.548817631052692
INTERIOR	-0.913583823384853	0.672976390061235	-0.30436958428726	-0.298854746450234	0.111538697154284	-0.323532892045495
EDGE	-1.299613841539	1.09433574867934	1.95625591991145	1.98717926860789	0.584856877215175	2.11140873439714
INTERIOR	0.859593050264522	-0.73337063834641	-0.435134848431193	-0.407040324512529	-0.165976526966913	-0.516795233978815
INTERIOR	-0.235028512844514	0.0499124294483824	-0.180270591973993	-0.00952070943878509	0.804441364810397	-0.420058353364278
INTERIOR	0.343128781613402	-0.39210593250009	-0.533549071169304	-0.719084519729463	-0.993961535143133	-0.455702635346424
INTERIOR	1.01460423158934	-0.827495702280528	-0.285103571909385	-0.102480038964376	0.378045140637467	-0.326815133167237
INTERIOR	0.643533419580501	-0.595953761220928	-0.293608879860039	-0.399391322181978	-0.169867997992954	-0.427229889834942
INTERIOR	0.394833908014416	-0.428459804678711	-0.624071657202206	-0.759047835895668	-1.10234827938427	-0.6241347995235
INTERIOR	0.554126669861677	-0.536770353409988	-0.785002641232131	-0.766674374855237	-1.12554346799616	-0.487977926471439
INTERIOR	-0.108961325654858	-0.0527841416449951	-0.197612187982712	-0.00804409504620553	0.787399962349897	-0.580235824685594
INTERIOR	1.19147974244291	-0.930730658494569	-0.37576465063193	-0.219003311426852	0.281843243341725	-0.387787484441701
INTERIOR	0.349735413854858	-0.396709852267378	-0.161268079294671	-0.210987107485742	0.323069184450822	-0.45586904832724
INTERIOR	-0.140579163472096	-0.0271755291787258	-0.147536237108257	-0.309043891153472	0.0848833420125282	-0.514076476323863
EDGE	-0.0988032261906041	-0.0609787587509228	1.63201298390347	2.00125076997216	0.436390423419002	1.78690538235645
INTERIOR	1.48820076390165	-1.09474652058026	-0.246049100691289	-0.251543713318488	0.213042675504079	-0.445347083391869
EDGE	-1.63114761197822	1.50600946325565	1.01428412685493	0.996951282388518	0.276410003892101	1.27299659163811
INTERIOR	1.35991518120419	-1.02505763230872	-0.465078683923455	-0.523652415160797	-0.482956325614513	-0.388123192543244
INTERIOR	0.442218642104815	-0.461238769167444	-0.147857702351902	-0.166654056127071	0.435820297546695	-0.50776703024703
INTERIOR	-0.656140838637726	0.421251182983145	-0.286970070349255	-0.255061655811385	0.216801131353676	-0.24760205189925
EDGE	-2.8298743536935	3.61262613215885	2.98895475501958	2.44339685288377	-0.000664127852313469	3.18686881047783
EDGE	-0.870349316717644	0.629110536136119	0.533962778712933	0.161843258196499	-2.53827163380274	0.0943978454083562
INTERIOR	-0.571770835564608	0.342570681557517	-0.391465033467011	-0.677081241152668	-0.873720414166754	-0.324360365459205
INTERIOR	0.446742243779571	-0.464082327177595	-0.0852479074694447	0.242674058227709	1.21788158142642	-0.350054564952319
INTERIOR	0.6744429163372	-0.616058945601926	-0.196617947178482	-0.20737693805979	0.334949687687143	-0.527643270749752
INTERIOR	0.4246049206352	-0.448869106776088	-0.398546502192517	-0.434562665836959	-0.235137356506849	-0.411130987692058
INTERIOR	0.67689144921249	-0.617528332981125	-0.131181935147981	-0.213519783537082	0.320803802715082	-0.142111614467428
INTERIOR	0.150925321124784	-0.252944904202896	-0.801375627046281	-0.85466881554141	-1.37901275034147	-0.637968758834413
INTERIOR	0.736427402888666	-0.655895252200389	-0.759606097335514	-0.681447984238396	-0.893378347987723	-0.544227742094809
INTERIOR	-0.570080315461315	0.341373503395884	-0.461821600522473	-0.563721231236938	-0.570312253060376	-0.496867634633666
EDGE	-1.5276195879267	1.37153353223062	2.88424744395429	3.18491739525024	2.10977874814678	3.25856317281156
EDGE	-1.65212612965203	1.53326918936987	4.09738051857854	4.45155243772087	1.05290551361642	4.74008885326862
INTERIOR	1.28570310829888	-0.98400951077289	-0.309164079078409	-0.172665028900444	0.291020348943477	-0.048216926626518
INTERIOR	0.747121046449071	-0.662673720009603	-0.37767727062454	-0.422037077381646	-0.204388374943266	-0.364974133155046
INTERIOR	1.33085060066782	-1.00905166181921	-0.17084736638213	-0.113395173793483	0.355959625790671	0.03195624635022
INTERIOR	0.993367273292103	-0.814777374507218	-0.126359520989562	0.0267034160322779	0.824514605628568	-0.0898094045668587
INTERIOR	0.22542209210123	-0.307838613495895	-0.779922980375534	-0.647264101286987	-0.7917204835734	-0.301874681471565
INTERIOR	-0.0779887228768511	-0.077411167910725	-0.286207746058002	-0.291704431798392	0.127299142985452	-0.603789905640309
EDGE	-0.229062018674712	0.0446303102548385	3.2210615492233	3.8604809966608	1.717094433579	2.73216899496701
INTERIOR	-0.678927646519056	0.442223181404489	-0.494039888654074	-0.698758349617132	-0.943028443631118	-0.320987362031557
INTERIOR	0.927922110693629	-0.775308219260811	-0.843416088035972	-0.763708947974577	-1.11406913797343	-0.392467481752299
INTERIOR	0.993839757867199	-0.814996363435197	-0.24943962019222	0.142774730466828	1.12728112271263	-0.499927517454746
INTERIOR	0.0721300715089812	-0.193507295283404	-0.707838761021199	-0.75178204174688	-1.0852490661265	-0.413406507524637
INTERIOR	1.06489798390921	-0.85723325561523	-0.129939400615759	0.0356084440219258	0.835136810893974	-0.135180976138704
